Readers,Writers,TotalTime(ms),AvgWaitingTime(ms)
44,2,260,4
44,3,364,9
44,4,457,16
44,5,568,25
44,6,660,36
44,7,758,48
44,8,865,62
44,9,962,77
44,10,1067,93
45,1,157,1
45,2,257,4
45,3,361,9
45,4,461,16
45,5,559,25
45,6,660,35
45,7,763,47
45,8,857,60
45,9,964,75
45,10,1063,91
46,1,160,1
46,2,261,4
46,3,360,9
46,4,460,16
46,5,563,24
46,6,660,35
46,7,763,46
46,8,863,59
46,9,968,74
46,10,1062,90
47,1,159,1
47,2,262,4
47,3,362,9
47,4,463,16
47,5,560,24
47,6,663,34
47,7,764,45
47,8,867,59
47,9,970,73
47,10,1064,88
48,1,158,1
48,2,258,4
48,3,360,8
48,4,462,15
48,5,564,24
48,6,665,33
48,7,760,45
48,8,864,57
48,9,961,71
48,10,1064,87
49,1,160,1
49,2,260,4
49,3,359,8
49,4,459,15
49,5,558,23
49,6,659,33
49,7,763,44
49,8,866,56
49,9,964,70
49,10,1068,85
50,1,158,1
50,2,259,4
50,3,363,8
50,4,464,15
50,5,564,23
50,6,662,32
50,7,763,43
50,8,862,55
50,9,963,69
50,10,1065,84
51,1,156,0
51,2,258,3
51,3,359,8
51,4,456,14
51,5,563,22
51,6,660,31
51,7,760,42
51,8,867,55
51,9,964,68
51,10,1065,82
52,1,161,0
52,2,256,3
52,3,361,8
52,4,464,14
52,5,561,22
52,6,662,31
52,7,768,42
52,8,873,54
52,9,971,67
52,10,1068,81
53,1,157,0
53,2,256,3
53,3,359,8
53,4,460,14
53,5,560,21
53,6,662,30
53,7,768,41
53,8,862,53
53,9,969,65
53,10,1066,80
54,1,159,0
54,2,258,3
54,3,358,8
54,4,464,14
54,5,566,21
54,6,660,30
54,7,765,40
54,8,868,52
54,9,970,65
54,10,1063,78
55,1,156,0
55,2,262,3
55,3,366,7
55,4,462,13
55,5,560,21
55,6,666,29
55,7,763,39
55,8,868,51
55,9,964,63
55,10,1072,77
56,1,157,0
56,2,262,3
56,3,357,7
56,4,459,13
56,5,560,20
56,6,658,29
56,7,762,39
56,8,864,50
56,9,966,63
56,10,1067,76
57,1,159,0
57,2,263,3
57,3,357,7
57,4,462,13
57,5,562,20
57,6,662,28
57,7,764,38
57,8,866,49
57,9,969,61
57,10,1067,75
58,1,156,0
58,2,258,3
58,3,358,7
58,4,459,13
58,5,560,20
58,6,661,28
58,7,761,38
58,8,862,48
58,9,964,61
58,10,1062,74
59,1,164,0
59,2,260,3
59,3,360,7
59,4,465,12
59,5,560,19
59,6,663,27
59,7,766,37
59,8,874,48
59,9,968,60
59,10,1067,73
60,1,162,0
60,2,261,3
60,3,365,7
60,4,458,12
60,5,580,20
60,6,658,27
60,7,762,37
60,8,860,47
60,9,963,59
60,10,1067,72
61,1,159,0
61,2,259,3
61,3,359,7
61,4,463,12
61,5,563,19
61,6,666,27
61,7,763,36
61,8,863,46
61,9,962,58
61,10,1068,71
62,1,154,0
62,2,262,3
62,3,359,6
62,4,458,12
62,5,562,18
62,6,667,26
62,7,762,35
62,8,865,46
62,9,966,57
62,10,1066,70
63,1,159,0
63,2,263,3
63,3,357,6
63,4,467,12
63,5,567,18
63,6,660,26
63,7,764,35
63,8,872,45
63,9,973,57
63,10,1070,69
64,1,160,0
64,2,265,3
64,3,361,6
64,4,463,11
64,5,564,18
64,6,665,26
64,7,760,34
64,8,864,44
64,9,967,56
64,10,1062,68
65,1,161,0
65,2,262,3
65,3,357,6
65,4,459,11
65,5,560,18
65,6,665,25
65,7,761,34
65,8,865,44
65,9,964,55
65,10,1062,67
66,1,156,0
66,2,270,2
66,3,360,6
66,4,460,11
66,5,566,17
66,6,663,25
66,7,759,33
66,8,867,43
66,9,969,54
66,10,1062,66
67,1,165,0
67,2,262,2
67,3,361,6
67,4,459,11
67,5,564,17
67,6,662,25
67,7,761,33
67,8,863,43
67,9,967,54
67,10,1065,65
68,1,162,0
68,2,259,3
68,3,361,6
68,4,458,11
68,5,564,17
68,6,661,24
68,7,763,32
68,8,862,42
68,9,967,53
68,10,1065,64
69,1,165,0
69,2,260,2
69,3,375,6
69,4,461,11
69,5,562,16
69,6,667,24
69,7,773,32
69,8,869,41
69,9,961,52
69,10,1115,64
70,1,166,0
70,2,257,2
70,3,359,6
70,4,460,10
70,5,559,16
70,6,669,24
70,7,767,32
70,8,874,41
70,9,963,51
70,10,1071,64
71,1,157,0
71,2,260,2
71,3,361,6
71,4,459,10
71,5,559,16
71,6,660,23
71,7,764,31
71,8,866,40
71,9,962,51
71,10,1063,62
72,1,168,0
72,2,258,2
72,3,360,6
72,4,464,10
72,5,576,16
72,6,671,23
72,7,779,31
72,8,867,40
72,9,962,50
72,10,1075,61
73,1,157,0
73,2,263,2
73,3,360,6
73,4,479,11
73,5,564,16
73,6,664,23
73,7,769,31
73,8,865,40
73,9,972,50
73,10,1065,60
74,1,163,0
74,2,262,2
74,3,363,5
74,4,462,10
74,5,565,15
74,6,668,22
74,7,762,30
74,8,866,39
74,9,962,49
74,10,1068,60
75,1,165,0
75,2,265,2
75,3,365,5
75,4,466,10
75,5,568,15
75,6,667,22
75,7,762,30
75,8,870,39
75,9,962,48
75,10,1072,59
76,1,159,0
76,2,270,2
76,3,373,5
76,4,461,10
76,5,559,15
76,6,666,22
76,7,774,29
76,8,863,38
76,9,967,48
76,10,1067,58
77,1,160,0
77,2,262,2
77,3,361,5
77,4,463,10
77,5,569,15
77,6,660,21
77,7,770,29
77,8,861,37
77,9,970,47
77,10,1072,58
78,1,160,0
78,2,261,2
78,3,364,5
78,4,467,9
78,5,565,15
78,6,661,21
78,7,768,29
78,8,865,37
78,9,972,47
78,10,1065,57
79,1,157,0
79,2,264,2
79,3,367,5
79,4,466,9
79,5,562,14
79,6,663,21
79,7,766,28
79,8,864,37
79,9,963,46
79,10,1068,56
80,1,158,0
80,2,272,2
80,3,368,5
80,4,467,9
80,5,560,14
80,6,672,21
80,7,771,28
80,8,864,36
80,9,967,46
80,10,1081,56
81,1,164,0
81,2,272,2
81,3,380,5
81,4,460,9
81,5,572,14
81,6,665,21
81,7,763,28
81,8,864,36
81,9,969,45
81,10,1107,58
82,1,167,0
82,2,264,2
82,3,368,5
82,4,473,9
82,5,564,14
82,6,673,20
82,7,768,27
82,8,865,35
82,9,961,44
82,10,1076,55
83,1,163,0
83,2,260,2
83,3,368,5
83,4,464,9
83,5,560,14
83,6,667,20
83,7,778,27
83,8,867,35
83,9,987,44
83,10,1087,54
84,1,164,0
84,2,275,2
84,3,364,5
84,4,472,9
84,5,564,14
84,6,672,20
84,7,769,27
84,8,883,35
84,9,971,44
84,10,1069,53
85,1,168,0
85,2,262,2
85,3,371,5
85,4,463,9
85,5,563,14
85,6,665,20
85,7,768,27
85,8,863,34
85,9,973,43
85,10,1088,53
86,1,155,0
86,2,260,2
86,3,361,5
86,4,465,8
86,5,563,13
86,6,663,19
86,7,770,26
86,8,867,34
86,9,968,43
86,10,1075,52
87,1,170,0
87,2,262,2
87,3,377,5
87,4,462,8
87,5,579,13
87,6,670,19
87,7,771,26
87,8,867,33
87,9,968,42
87,10,1065,52
88,1,162,0
88,2,277,2
88,3,360,5
88,4,470,8
88,5,564,13
88,6,663,19
88,7,769,26
88,8,878,33
88,9,971,42
88,10,1069,51
89,1,166,0
89,2,270,2
89,3,361,5
89,4,462,8
89,5,564,13
89,6,667,19
89,7,778,25
89,8,860,33
89,9,965,41
89,10,1068,50
90,1,165,0
90,2,263,2
90,3,359,4
90,4,464,8
90,5,561,13
90,6,660,18
90,7,765,25
90,8,869,32
90,9,969,41
90,10,1069,50
91,1,164,0
91,2,261,2
91,3,361,4
91,4,463,8
91,5,571,13
91,6,666,18
91,7,767,25
91,8,871,32
91,9,967,40
91,10,1084,49
92,1,166,0
92,2,279,2
92,3,376,4
92,4,463,8
92,5,566,13
92,6,663,18
92,7,762,24
92,8,870,32
92,9,977,40
92,10,1076,49
93,1,159,0
93,2,262,2
93,3,364,4
93,4,465,8
93,5,571,12
93,6,667,18
93,7,764,24
93,8,874,31
93,9,975,40
93,10,1072,49
94,1,169,0
94,2,262,2
94,3,364,4
94,4,482,9
94,5,562,12
94,6,670,18
94,7,769,24
94,8,871,31
94,9,969,39
94,10,1068,48
95,1,163,0
95,2,263,2
95,3,362,4
95,4,464,8
95,5,564,12
95,6,671,18
95,7,779,24
95,8,872,31
95,9,974,39
95,10,1075,48
96,1,161,0
96,2,262,2
96,3,369,4
96,4,467,8
96,5,570,12
96,6,668,17
96,7,764,24
96,8,867,31
96,9,970,39
96,10,1069,47
97,1,161,0
97,2,264,2
97,3,367,4
97,4,465,8
97,5,573,12
97,6,667,17
97,7,771,23
97,8,865,30
97,9,971,38
97,10,1070,47
98,1,165,0
98,2,272,2
98,3,364,4
98,4,479,8
98,5,569,12
98,6,666,17
98,7,769,23
98,8,872,30
98,9,973,38
98,10,1066,46
99,1,164,0
99,2,260,2
99,3,361,4
99,4,482,7
99,5,561,12
99,6,670,17
99,7,765,23
99,8,872,30
99,9,967,37
99,10,1066,46
100,1,163,0
100,2,267,2
100,3,361,4
100,4,476,7
100,5,569,12
100,6,670,17
100,7,766,23
100,8,872,30
100,9,963,37
100,10,1067,45
