Readers,Writers,TotalTime(ms),AvgWaitingTime(ms)
43,9,1012,188
43,10,1116,372
44,1,205,58
44,2,255,4
44,3,356,9
44,4,460,16
44,5,559,25
44,6,714,192
44,7,812,137
44,8,909,522
44,9,1016,365
44,10,1115,642
45,1,209,68
45,2,262,4
45,3,357,9
45,4,463,16
45,5,610,36
45,6,662,35
45,7,811,351
45,8,913,285
45,9,1011,376
45,10,1112,511
46,1,211,4
46,2,262,4
46,3,408,173
46,4,510,249
46,5,614,263
46,6,714,298
46,7,813,473
46,8,918,519
46,9,1017,143
46,10,1114,222
47,1,163,1
47,2,263,4
47,3,367,9
47,4,515,262
47,5,608,35
47,6,712,428
47,7,813,322
47,8,945,283
47,9,959,72
47,10,1068,88
48,1,165,1
48,2,263,4
48,3,409,200
48,4,457,15
48,5,611,87
48,6,668,33
48,7,811,154
48,8,913,532
48,9,1011,488
48,10,1117,596
49,1,208,52
49,2,258,4
49,3,366,8
49,4,457,15
49,5,611,33
49,6,663,33
49,7,770,43
49,8,916,415
49,9,1012,512
49,10,1116,353
50,1,168,1
50,2,257,3
50,3,409,195
50,4,511,23
50,5,563,22
50,6,714,91
50,7,769,43
50,8,911,480
50,9,1016,472
50,10,1113,330
51,1,161,1
51,2,312,93
51,3,358,8
51,4,511,72
51,5,613,72
51,6,669,32
51,7,815,225
51,8,917,271
51,9,966,68
51,10,1117,169
52,1,160,0
52,2,313,115
52,3,408,40
52,4,462,14
52,5,565,22
52,6,714,334
52,7,813,234
52,8,913,438
52,9,1021,347
52,10,1115,624
53,1,158,0
53,2,312,58
53,3,411,76
53,4,459,14
53,5,557,21
53,6,712,364
53,7,809,304
53,8,914,442
53,9,963,65
53,10,1118,548
54,1,167,0
54,2,265,3
54,3,364,7
54,4,511,225
54,5,618,313
54,6,717,344
54,7,817,275
54,8,921,398
54,9,1019,443
54,10,1118,439
55,1,209,83
55,2,261,3
55,3,408,152
55,4,521,159
55,5,615,297
55,6,663,29
55,7,810,440
55,8,917,362
55,9,1018,407
55,10,1113,335
56,1,157,0
56,2,262,3
56,3,365,7
56,4,508,315
56,5,566,20
56,6,716,312
56,7,816,336
56,8,914,144
56,9,1012,136
56,10,1115,490
57,1,157,0
57,2,309,139
57,3,357,7
57,4,514,234
57,5,569,20
57,6,712,400
57,7,814,416
57,8,912,365
57,9,966,62
57,10,1113,470
58,1,205,3
58,2,308,137
